,penalty,C,rank,test_means,test_stds,train_means,train_stds
0,l2,4.269,42,0.894932692634905,0.04684017602109663,0.9772963300482654,0.005834112401875361
1,l2,1.039,78,0.8114758187670537,0.05806319737680014,0.8763784898293266,0.021850117948194994
2,l2,3.217,57,0.8694433232317074,0.052336915711881316,0.9601281204900263,0.009881525469446545
3,l1,4.638000000000001,143,0.7634628152370209,0.0406535201306907,0.9869845565210398,0.01100455900238741
4,l1,2.971,161,0.7123583856320025,0.053549409362204266,0.966549576680813,0.010925528519362102
5,l2,7.62,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
6,l1,0.855,190,0.6310489407339396,0.03467532335805148,0.7920995914776598,0.013597119872047043
7,l1,9.818999999999999,125,0.771226104088449,0.031094604680641798,1.0,0.0
8,l1,7.573,95,0.7734021756055756,0.029183510364546254,1.0,0.0
9,l2,8.674,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
10,l1,5.3660000000000005,138,0.7680882633590211,0.025442353218410492,0.9934649542207673,0.009509726514038816
11,l1,8.317,85,0.7795855152529789,0.02703884493585293,1.0,0.0
12,l2,5.48,26,0.8993825947746664,0.0384266792388416,0.9804358257978423,0.0038683851116466427
13,l2,7.414000000000001,24,0.904437027011563,0.02895205572949095,0.9868256907757305,0.004046660253470718
14,l1,6.9030000000000005,95,0.7734021756055756,0.029183510364546254,1.0,0.0
15,l2,5.412000000000001,26,0.8993825947746664,0.0384266792388416,0.9804358257978423,0.0038683851116466427
16,l1,5.831,95,0.7734021756055756,0.029183510364546254,0.9983344100743144,0.0033311798513711906
17,l1,0.14400000000000002,198,0.5496110597782808,0.11306219565304759,0.5575062818184262,0.02066473931126636
18,l2,9.895,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
19,l1,5.8660000000000005,95,0.7734021756055756,0.029183510364546254,0.9983344100743144,0.0033311798513711906
20,l1,2.576,169,0.6989684784833594,0.048157308805504756,0.9516699646845902,0.014524858618914338
21,l1,6.897,95,0.7734021756055756,0.029183510364546254,1.0,0.0
22,l2,8.151,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
23,l1,9.641,125,0.771226104088449,0.031094604680641798,1.0,0.0
24,l1,3.4859999999999998,157,0.7297845814841052,0.04417148224498476,0.9774601816423811,0.012573647395202071
25,l2,6.821000000000001,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
26,l2,5.525,26,0.8993825947746664,0.0384266792388416,0.9804358257978423,0.0038683851116466427
27,l2,7.106000000000001,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
28,l1,6.756,95,0.7734021756055756,0.029183510364546254,1.0,0.0
29,l1,0.199,197,0.5736135443303012,0.10125340733269475,0.5888402412350613,0.026722429302146706
30,l1,8.754999999999999,85,0.7795855152529789,0.02703884493585293,1.0,0.0
31,l1,8.291,85,0.7795855152529789,0.02703884493585293,1.0,0.0
32,l1,2.225,183,0.690646290621238,0.046954065371097385,0.9316204462546042,0.015561384957946333
33,l2,4.011,51,0.8827105685317054,0.03871022601445626,0.9757334546688714,0.007020684677664509
34,l2,8.549999999999999,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
35,l1,2.4819999999999998,169,0.6989684784833594,0.048157308805504756,0.9473690690421439,0.016322379813607818
36,l2,2.109,71,0.8510286075399105,0.06995344928161992,0.9409750125107899,0.006940879592549988
37,l2,0.062,189,0.6575133412998725,0.08201195480249891,0.6922874311717042,0.01710574896130969
38,l2,8.424,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
39,l1,0.375,192,0.5968834917499548,0.06648988530707325,0.6701065453238163,0.013052229503495839
40,l2,7.787000000000001,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
41,l2,0.457,148,0.7610052155288575,0.07593836950828177,0.8200836125297142,0.02593894289860785
42,l1,4.766,143,0.7634628152370209,0.0406535201306907,0.990169275527726,0.009529221809651833
43,l2,3.199,57,0.8694433232317074,0.052336915711881316,0.9601281204900263,0.009881525469446545
44,l1,7.639,95,0.7734021756055756,0.029183510364546254,1.0,0.0
45,l1,9.440999999999999,125,0.771226104088449,0.031094604680641798,1.0,0.0
46,l1,0.5690000000000001,196,0.5768442939771143,0.04395778778831343,0.7311546072010836,0.012828696435036585
47,l2,6.706,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
48,l2,7.069000000000001,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
49,l1,2.472,169,0.6989684784833594,0.048157308805504756,0.9473690690421439,0.016322379813607818
50,l1,1.728,175,0.6983944168631719,0.05209904888947815,0.9029689600119717,0.017318842216612954
51,l1,8.682,85,0.7795855152529789,0.02703884493585293,1.0,0.0
52,l2,3.116,57,0.8694433232317074,0.052336915711881316,0.9601281204900263,0.009881525469446545
53,l2,1.041,78,0.8114758187670537,0.05806319737680014,0.8763784898293266,0.021850117948194994
54,l1,5.434,138,0.7680882633590211,0.025442353218410492,0.9934649542207673,0.009509726514038816
55,l1,6.176,95,0.7734021756055756,0.029183510364546254,1.0,0.0
56,l2,2.81,57,0.8694433232317074,0.052336915711881316,0.9571304367657923,0.009101203027817747
57,l2,8.389,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
58,l2,4.340000000000001,26,0.8993825947746664,0.0384266792388416,0.9788399537884878,0.003911855191946986
59,l2,6.078,45,0.8934161650154291,0.03465414540824027,0.9836208241552604,0.005135893109845121
60,l1,4.489000000000001,143,0.7634628152370209,0.0406535201306907,0.9853886845116853,0.011930649547433713
61,l2,5.463,26,0.8993825947746664,0.0384266792388416,0.9804358257978423,0.0038683851116466427
62,l1,6.118,95,0.7734021756055756,0.029183510364546254,1.0,0.0
63,l2,9.741999999999999,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
64,l2,7.3340000000000005,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
65,l1,0.443,194,0.5920759887197223,0.06738850685611832,0.6988340683190912,0.019991649670309794
66,l1,9.705,125,0.771226104088449,0.031094604680641798,1.0,0.0
67,l1,1.559,184,0.6781562426468032,0.0576020432759339,0.8877555392659733,0.02024079671033237
68,l1,9.014999999999999,125,0.771226104088449,0.031094604680641798,1.0,0.0
69,l1,4.531000000000001,143,0.7634628152370209,0.0406535201306907,0.9853886845116853,0.011930649547433713
70,l1,6.712000000000001,95,0.7734021756055756,0.029183510364546254,1.0,0.0
71,l1,9.919,125,0.771226104088449,0.031094604680641798,1.0,0.0
72,l1,4.498,143,0.7634628152370209,0.0406535201306907,0.9853886845116853,0.011930649547433713
73,l1,7.202000000000001,95,0.7734021756055756,0.029183510364546254,1.0,0.0
74,l1,1.9229999999999998,175,0.6983944168631719,0.05209904888947815,0.9133140882758453,0.012510494713840248
75,l2,0.368,150,0.7494515969034382,0.07940231100983683,0.801791340350905,0.019687213259331492
76,l1,9.788,125,0.771226104088449,0.031094604680641798,1.0,0.0
77,l1,2.578,169,0.6989684784833594,0.048157308805504756,0.9516699646845902,0.014524858618914338
78,l1,6.4430000000000005,95,0.7734021756055756,0.029183510364546254,1.0,0.0
79,l1,1.2879999999999998,188,0.6632452616377881,0.05443056072708711,0.8652723008928553,0.01960282783706662
80,l2,8.622,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
81,l1,8.756,85,0.7795855152529789,0.02703884493585293,1.0,0.0
82,l2,4.514,26,0.8993825947746664,0.0384266792388416,0.9788399537884878,0.003911855191946986
83,l2,8.208,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
84,l2,1.281,78,0.8114758187670537,0.05806319737680014,0.8976670022155563,0.01694802022171196
85,l1,2.053,166,0.7026100516082815,0.056509558433952355,0.9202416082480436,0.018531670645018917
86,l2,3.415,56,0.8751967096844233,0.05371904873049801,0.9634409813427368,0.01035041148972641
87,l2,9.783,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
88,l1,5.6850000000000005,95,0.7734021756055756,0.029183510364546254,0.9983344100743144,0.0033311798513711906
89,l1,6.477,95,0.7734021756055756,0.029183510364546254,1.0,0.0
90,l1,2.8449999999999998,162,0.7076620687203915,0.05198093975624278,0.9620169750361793,0.011626553871485729
91,l1,7.2490000000000006,95,0.7734021756055756,0.029183510364546254,1.0,0.0
92,l2,2.992,57,0.8694433232317074,0.052336915711881316,0.9586743329424852,0.011240416382893656
93,l1,8.607,85,0.7795855152529789,0.02703884493585293,1.0,0.0
94,l1,2.763,162,0.7076620687203915,0.05198093975624278,0.9620169750361793,0.011626553871485729
95,l1,1.3619999999999999,186,0.6706315183281456,0.05254592702406405,0.871102610890649,0.017042098043252858
96,l2,8.025,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
97,l1,7.079000000000001,95,0.7734021756055756,0.029183510364546254,1.0,0.0
98,l1,6.051,95,0.7734021756055756,0.029183510364546254,1.0,0.0
99,l1,7.7700000000000005,95,0.7734021756055756,0.029183510364546254,1.0,0.0
100,l1,5.539000000000001,95,0.7734021756055756,0.029183510364546254,0.9983344100743144,0.0033311798513711906
101,l2,5.656000000000001,45,0.8934161650154291,0.03465414540824027,0.9820450997596895,0.005995095251923307
102,l2,4.235,42,0.894932692634905,0.04684017602109663,0.9772963300482654,0.005834112401875361
103,l2,7.565,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
104,l1,5.995,95,0.7734021756055756,0.029183510364546254,1.0,0.0
105,l1,0.418,191,0.6054671151040351,0.06958951966788599,0.6908661023297671,0.015342067340960185
106,l1,7.955,95,0.7734021756055756,0.029183510364546254,1.0,0.0
107,l1,9.027,125,0.771226104088449,0.031094604680641798,1.0,0.0
108,l1,2.118,166,0.7026100516082815,0.056509558433952355,0.9243936166336726,0.017825128685605884
109,l2,2.694,57,0.8694433232317074,0.052336915711881316,0.9571304367657923,0.009101203027817747
110,l2,3.298,57,0.8694433232317074,0.052336915711881316,0.9601281204900263,0.009881525469446545
111,l1,2.79,162,0.7076620687203915,0.05198093975624278,0.9620169750361793,0.011626553871485729
112,l2,1.7149999999999999,74,0.8354165221863961,0.06456162706951313,0.9176562067112883,0.008867969720117894
113,l2,1.655,75,0.8303049294882449,0.06202606061462802,0.9176562067112883,0.008867969720117894
114,l2,3.971,51,0.8827105685317054,0.03871022601445626,0.9741375826595167,0.005883830052720988
115,l2,3.378,57,0.8694433232317074,0.052336915711881316,0.9601281204900263,0.009881525469446545
116,l1,0.122,199,0.5254146488233253,0.11047255332110315,0.5467954796641681,0.017554251082207567
117,l1,3.288,160,0.7251367020963034,0.039644555500124815,0.9745236870286877,0.017080387667164028
118,l2,2.543,68,0.8641294823823467,0.053282322353239375,0.9526606630828697,0.007904006569350728
119,l1,0.337,195,0.591407021550455,0.06523936737550833,0.6559993316333632,0.02162306619836695
120,l2,3.708,51,0.8827105685317054,0.03871022601445626,0.9710489466739004,0.006068823696079965
121,l2,1.4649999999999999,77,0.8251933367900938,0.05894068154553821,0.9131615394894282,0.008862036427350704
122,l2,4.541,26,0.8993825947746664,0.0384266792388416,0.9788399537884878,0.003911855191946986
123,l1,4.1850000000000005,152,0.7437779049359085,0.0418232353745798,0.983825809132291,0.013523617398964493
124,l2,2.797,57,0.8694433232317074,0.052336915711881316,0.9571304367657923,0.009101203027817747
125,l1,2.756,162,0.7076620687203915,0.05198093975624278,0.9620169750361793,0.011626553871485729
126,l1,8.369,85,0.7795855152529789,0.02703884493585293,1.0,0.0
127,l1,8.945,125,0.771226104088449,0.031094604680641798,1.0,0.0
128,l1,1.9489999999999998,175,0.6983944168631719,0.05209904888947815,0.9161392257041008,0.01710737128460914
129,l2,2.3649999999999998,68,0.8641294823823467,0.053282322353239375,0.9511603575714561,0.007016866696143896
130,l2,6.026000000000001,45,0.8934161650154291,0.03465414540824027,0.9836208241552604,0.005135893109845121
131,l1,1.662,182,0.6944388300272551,0.048929832861310585,0.8916211939281802,0.022043595346825474
132,l2,0.558,137,0.7695065950282205,0.07678483971942,0.824331928098333,0.023419614195850466
133,l1,7.813000000000001,95,0.7734021756055756,0.029183510364546254,1.0,0.0
134,l2,8.009,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
135,l2,2.01,71,0.8510286075399105,0.06995344928161992,0.9380901759875012,0.005911949869500981
136,l1,5.414000000000001,138,0.7680882633590211,0.025442353218410492,0.9934649542207673,0.009509726514038816
137,l2,7.349,33,0.8981768517681455,0.02579956705205799,0.9868256907757305,0.004046660253470718
138,l1,2.467,169,0.6989684784833594,0.048157308805504756,0.9473690690421439,0.016322379813607818
139,l1,1.664,175,0.6983944168631719,0.05209904888947815,0.8916211939281802,0.022043595346825474
140,l1,6.925000000000001,95,0.7734021756055756,0.029183510364546254,1.0,0.0
141,l2,9.93,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
142,l1,6.971,95,0.7734021756055756,0.029183510364546254,1.0,0.0
143,l2,1.0279999999999998,82,0.8037019120105786,0.0701889335955159,0.8745267557327228,0.02271700776533852
144,l2,7.987,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
145,l2,8.613,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
146,l1,8.847,125,0.771226104088449,0.031094604680641798,1.0,0.0
147,l1,2.163,181,0.6983555643141898,0.05512302033348134,0.928445256452474,0.01618699274654503
148,l1,4.103000000000001,152,0.7437779049359085,0.0418232353745798,0.983825809132291,0.013523617398964493
149,l1,0.061,200,0.44900764618656785,0.08818023634632752,0.44299505188613936,0.04203746155664209
150,l2,6.885000000000001,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
151,l1,1.843,175,0.6983944168631719,0.05209904888947815,0.9107720044975747,0.015067122896519177
152,l2,8.82,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
153,l2,9.937,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
154,l2,0.247,155,0.7428779091514862,0.08613408609404669,0.7846526507378557,0.015598937640920423
155,l2,2.131,71,0.8510286075399105,0.06995344928161992,0.9423740599258418,0.005497314418327899
156,l1,6.106000000000001,95,0.7734021756055756,0.029183510364546254,1.0,0.0
157,l1,9.988999999999999,125,0.771226104088449,0.031094604680641798,1.0,0.0
158,l1,0.292,193,0.5945171339353414,0.08408045679926955,0.6292701092785479,0.02415390649324758
159,l2,8.982,1,0.9095486197097141,0.020033143753771982,0.9884691858525674,0.006593392715675708
160,l1,1.3679999999999999,186,0.6706315183281456,0.05254592702406405,0.8723788333695561,0.019165078894027205
161,l1,4.095000000000001,152,0.7437779049359085,0.0418232353745798,0.983825809132291,0.013523617398964493
162,l2,9.404,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
163,l2,0.213,156,0.730995523989031,0.08240282849835334,0.7680226349070962,0.015935205256833306
164,l1,2.1029999999999998,166,0.7026100516082815,0.056509558433952355,0.9202416082480436,0.018531670645018917
165,l2,6.082000000000001,45,0.8934161650154291,0.03465414540824027,0.9836208241552604,0.005135893109845121
166,l2,1.28,78,0.8114758187670537,0.05806319737680014,0.8976670022155563,0.01694802022171196
167,l1,3.503,157,0.7297845814841052,0.04417148224498476,0.9774601816423811,0.012573647395202071
168,l1,8.738999999999999,85,0.7795855152529789,0.02703884493585293,1.0,0.0
169,l1,7.917000000000001,95,0.7734021756055756,0.029183510364546254,1.0,0.0
170,l2,4.232,42,0.894932692634905,0.04684017602109663,0.9772963300482654,0.005834112401875361
171,l2,0.936,83,0.7964435565919192,0.08255265652658873,0.8648151665695611,0.025917772222780792
172,l1,8.5,85,0.7795855152529789,0.02703884493585293,1.0,0.0
173,l2,9.744,1,0.9095486197097141,0.020033143753771982,0.9917430526882318,0.007369447100771773
174,l1,4.422000000000001,149,0.7591743466170098,0.04857169392932431,0.9853886845116853,0.011930649547433713
175,l1,7.66,95,0.7734021756055756,0.029183510364546254,1.0,0.0
176,l2,3.796,51,0.8827105685317054,0.03871022601445626,0.9710489466739004,0.006068823696079965
177,l2,6.933000000000001,33,0.8981768517681455,0.02579956705205799,0.9852298187663757,0.006091673021535664
178,l2,1.567,75,0.8303049294882449,0.06202606061462802,0.9145306344555116,0.00850763861590873
179,l2,3.188,57,0.8694433232317074,0.052336915711881316,0.9601281204900263,0.009881525469446545
180,l1,5.313000000000001,138,0.7680882633590211,0.025442353218410492,0.9934649542207673,0.009509726514038816
181,l1,6.493,95,0.7734021756055756,0.029183510364546254,1.0,0.0
182,l1,1.4229999999999998,185,0.6744334814973217,0.054861327123479776,0.874884189616371,0.02098796486345366
183,l2,3.7199999999999998,51,0.8827105685317054,0.03871022601445626,0.9710489466739004,0.006068823696079965
184,l2,2.3609999999999998,68,0.8641294823823467,0.053282322353239375,0.9511603575714561,0.007016866696143896
185,l1,8.23,85,0.7795855152529789,0.02703884493585293,1.0,0.0
186,l2,0.327,151,0.7460739805695497,0.08266868197984012,0.7924588344608517,0.01838892675185092
187,l1,3.308,157,0.7297845814841052,0.04417148224498476,0.9745236870286877,0.017080387667164028
188,l2,3.41,57,0.8694433232317074,0.052336915711881316,0.9634409813427368,0.01035041148972641
189,l1,1.8379999999999999,175,0.6983944168631719,0.05209904888947815,0.9107720044975747,0.015067122896519177
190,l1,6.448,95,0.7734021756055756,0.029183510364546254,1.0,0.0
191,l2,0.75,84,0.7824722809467248,0.07496287379233871,0.8423504599658147,0.0243979963711407
192,l2,5.674,45,0.8934161650154291,0.03465414540824027,0.9820450997596895,0.005995095251923307
193,l1,9.105,125,0.771226104088449,0.031094604680641798,1.0,0.0
194,l2,6.213,33,0.8981768517681455,0.02579956705205799,0.9836208241552604,0.005135893109845121
195,l2,7.376,24,0.904437027011563,0.02895205572949095,0.9868256907757305,0.004046660253470718
196,l2,4.0680000000000005,50,0.8889662628756676,0.04318798616783634,0.9757334546688714,0.007020684677664509
197,l1,2.554,169,0.6989684784833594,0.048157308805504756,0.9516699646845902,0.014524858618914338
198,l1,5.322,138,0.7680882633590211,0.025442353218410492,0.9934649542207673,0.009509726514038816
199,l1,5.69,95,0.7734021756055756,0.029183510364546254,0.9983344100743144,0.0033311798513711906
