Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio
svcrbf,100.0,100.0,100.0,100.0,0.0,87.98573975044565,88.89860996312609,86.71985708025753,77.92573219650635,10.674125966521306,76.19047619047619,79.67006802721087,71.25116713352008,55.81639678563023,3.6705418362804343,1
svclin,100.0,100.0,100.0,100.0,0.0,88.57397504456328,88.47388632872504,88.5972985479627,78.08301318994697,9.536021508144222,80.47619047619047,81.11225208899627,79.7702135263111,61.15547178923873,3.8769784027417002,1
logistic,100.0,100.0,100.0,100.0,0.0,90.37433155080214,90.2215945029038,90.51591545709194,81.07317668644853,9.934121891150062,80.95238095238095,81.4799154334038,80.39024390243904,62.017541344879234,4.76825885670756,1
random,100.0,100.0,100.0,100.0,0.0,90.98039215686273,91.14331167462099,90.79220779220779,82.16156361005167,11.233634850378877,77.14285714285714,78.90978237509225,75.02042528358318,55.196919809441454,5.815101555516961,1
knn,100.0,100.0,100.0,100.0,0.0,82.4777183600713,80.39682539682539,83.98875634169752,67.3257593544188,11.467534626574924,79.04761904761905,78.66310160427807,79.0,59.1670637812353,4.374679168386005,1
svcrbf,100.0,100.0,100.0,100.0,0.0,89.97551020408164,92.80139159406271,83.32811390530752,77.2537743563166,7.493359117490433,90.15873015873017,92.93484969988579,83.76113360323886,77.72496748856385,1.8101913907355829,2
svclin,100.0,100.0,100.0,100.0,0.0,89.16734693877552,91.79302291636256,83.92543859649122,76.14425111341657,5.486693584064024,86.98412698412697,90.11740231404542,80.90805469818517,71.17805423897777,2.974754787894315,2
logistic,100.0,100.0,100.0,100.0,0.0,89.57551020408164,92.08407244851192,84.51390108567674,77.19045019205075,7.693421532815487,87.61904761904762,90.58920329812796,81.89191976486362,72.59484232864475,4.283666070983975,2
random,99.89949748743717,99.9245283018868,99.84962406015038,99.77541959831775,0.5021770445757232,90.36734693877551,93.10706027208025,83.95163457232422,78.25832546702534,6.717145696514607,90.15873015873017,92.90491118077325,83.94062078272604,77.5668192552944,3.133633831533521,2
knn,100.0,100.0,100.0,100.0,0.0,88.35918367346939,91.11854329245634,82.95051649890361,74.55719596688884,7.057833119437066,89.20634920634922,91.85886402753873,83.98671096345515,75.86663531308582,4.466930347154447,2
svcrbf,100.0,100.0,100.0,100.0,0.0,92.47851650836725,95.17825359038801,82.68519870037898,79.75404839230602,6.703116046110586,92.14285714285714,94.87605820292141,83.14012047003061,78.52357970846228,4.824772779564803,3
svclin,100.0,100.0,100.0,100.0,0.0,90.07236544549977,93.33066591812135,80.3392315157021,74.36241928069539,7.185813007733881,90.47619047619048,93.50059496329433,82.17021276595744,76.02322433488465,3.333287632054423,3
logistic,100.0,100.0,100.0,100.0,0.0,90.97693351424695,93.94679427102108,82.0731044260456,76.61691582425811,7.2115709735782145,89.76190476190476,93.02627336162308,80.74308300395258,74.05353750371356,2.1863340524061545,3
random,99.84934033196198,99.89924433249371,99.70147591200222,99.6027007963439,0.544038313885245,91.86341022161916,94.83304387775681,80.75242559113526,77.92009011810838,6.266042506447911,90.23809523809524,93.58496612342063,79.57973733583489,73.33524521996114,5.4409217613278935,3
knn,100.0,100.0,100.0,100.0,0.0,91.5649027589326,94.398079432191,82.68149643149643,77.71909074530667,8.490506636280793,90.71428571428572,93.68491551459292,82.39353669586228,76.36446337543953,6.099371266281703,3
svcrbf,100.0,100.0,100.0,100.0,0.0,93.98450946643717,96.30042665463334,83.86969648816145,80.56825165583552,9.87809946539344,91.15384615384616,94.60865756860929,75.34206271048376,71.03357611939423,4.01495663388048,4
svclin,99.93975903614458,99.9623352165725,99.84962406015038,99.81283764426234,0.4185077502583883,92.79116465863453,95.46509096351933,82.33386327503975,78.00552184541091,4.3073299652254216,85.57692307692307,90.63591893780573,68.58917480035493,60.19655430917361,4.546220994638249,4
logistic,100.0,100.0,100.0,100.0,0.0,92.5473321858864,95.31657129150918,81.62199339395882,77.25760097488606,3.0232570111003887,88.26923076923076,92.47701557111004,73.35221783047871,66.31425835402744,3.085166018836371,4
random,99.81981981981981,99.88728725557492,99.5510319479785,99.44093192215665,0.5104290874976891,94.22547332185887,96.5024154589372,83.38919145370758,81.08148267596067,9.336525088972142,88.65384615384615,93.21080737452793,65.44334097275274,61.46068800562259,3.1213994563825027,4
knn,100.0,100.0,100.0,100.0,0.0,93.74641422834195,96.10295426048286,84.10986261225091,80.39315453272474,6.383691497383514,88.65384615384615,92.96840568363486,70.51154821886529,63.800264951019074,3.3958703626165474,4
svcrbf,100.0,100.0,100.0,100.0,0.0,94.58989898989898,96.81998300892732,81.84077332464429,79.41487103774048,10.323478746857244,94.72,96.8969462457458,82.29808756124547,80.11961068194054,2.883266303058439,5
svclin,99.84962406015038,99.90977443609022,99.54887218045113,99.46107299141889,0.4919707990811051,93.58989898989898,96.16587724850748,80.40208536982729,76.65521812863253,11.257236904457471,91.35999999999999,94.79902373070709,74.4480998298355,69.33415772826854,4.217396589092915,5
logistic,100.0,100.0,100.0,100.0,0.0,93.7939393939394,96.27987239144815,81.21534820824881,77.66915044036327,17.96897303730262,91.67999999999999,94.94847664688501,76.41051567239636,71.50833559699706,3.5883586077926304,5
random,99.69937343358397,99.81945787559576,99.10216593798683,98.92637907828139,0.753041678179641,93.9919191919192,96.49920383461043,78.78648969166211,76.81952992254648,11.642098526455184,93.6,96.20827285921625,79.4486215538847,76.17059750493388,3.8039140125493747,5
knn,100.0,100.0,100.0,100.0,0.0,93.59191919191919,96.15964152806256,80.50574712643677,76.86602039667636,9.631271694902061,91.2,94.71264534025497,73.73969195863694,68.54359435090555,3.3953455197545,5
svcrbf,100.0,100.0,100.0,100.0,0.0,94.50338933097552,96.86747349504506,77.217620764781,76.12991269258823,6.71033874427418,95.34246575342465,97.29716056409282,83.17073170731707,80.56757001297794,2.395630392127757,6
svclin,99.69920162444043,99.82396178710091,98.96727111897391,98.80649170913804,1.4166258121899866,92.09106984969054,95.38305044631343,72.08728208728209,68.19654994612446,14.2531105217289,93.97260273972603,96.42530058630851,80.77755819060168,77.60132151138569,5.704811946764127,6
logistic,100.0,100.0,100.0,100.0,0.0,93.29501915708812,96.0847628920372,76.3567626067626,73.19955390933757,7.378497752724786,92.87671232876711,95.73563147177512,78.37784049790129,75.03948565130479,3.5596734531200998,6
random,99.74221237712861,99.84930928166554,99.10885080225682,98.96559840650404,0.717681249151675,93.81668140288829,96.4916998394432,73.67405927405929,72.88943602275148,3.1201023451679752,95.47945205479452,97.39685212913598,82.81902718359714,80.73794532492659,3.577853665601041,6
knn,100.0,100.0,100.0,100.0,0.0,93.81226053639845,96.41512863458567,77.25541125541125,74.14565473828314,5.300790448143516,94.1095890410959,96.54035496826013,80.19027484143763,76.79623793580308,3.0055179676918558,6
svcrbf,99.92481203007519,99.9569891975826,99.70147591200222,99.65991359076665,0.46569819401069507,95.33834586466165,97.36772505668254,79.4040569902639,77.80847263873306,6.949712460694295,96.40718562874252,97.97021511307226,84.36842105263159,82.85439589445292,0.13676944043572425,7
svclin,99.81203007518798,99.89240347218538,99.25698232509379,99.15437385582297,0.5912490218317454,93.8345864661654,96.46018201391892,75.95340798976072,72.73849964303986,9.669157474148935,91.49700598802396,95.05552555538563,69.62860037632075,65.19450297002719,4.438061262268546,7
logistic,100.0,100.0,100.0,100.0,0.0,93.98496240601503,96.55107689388501,76.26230339543034,73.20284988726621,11.223937754470366,91.25748502994011,94.8744867028308,70.23964689554752,66.21346745247745,3.2063577785860717,7
random,99.47368421052632,99.69873919081975,97.9191775165159,97.63344276094013,0.7244583336555467,94.58646616541353,96.9751672181203,74.04263986332951,73.06925908421199,6.137753575516269,96.1676646706587,97.82587609313721,83.83772752707284,81.91192791993784,1.5048744454772935,7
knn,100.0,100.0,100.0,100.0,0.0,95.33834586466165,97.37589304331584,79.02282492529825,77.20240351278123,11.884035626890968,93.53293413173654,96.28623609207276,74.97318701969866,71.33347429706451,2.53954151445339,7
svcrbf,99.8662765702034,99.92470586567882,99.40296844931565,99.33186509705209,0.6977452571623174,96.38836689038033,97.99896838531878,81.17941463975619,79.9202669832354,15.485938403196851,94.8936170212766,97.17611438731151,73.35564135564135,71.8727967899247,3.416615633091844,8
svclin,99.66577517713469,99.81160501742245,98.52056780049165,98.34850979595082,0.8108887560899092,95.05055928411633,97.21526654863536,77.6101556101556,75.08827926117984,11.15754623609899,90.53191489361703,94.61839205368351,60.52090455326047,55.415180793360925,2.305528009634594,8
logistic,100.0,100.0,100.0,100.0,0.0,95.58657718120806,97.519297343653,79.75682262294839,77.63429324228404,12.784509697034247,90.95744680851064,94.84278764042215,63.18929669839237,58.50232213046733,4.372296763936105,8
random,99.69921999318821,99.83077398556479,98.64867504562162,98.48155414094352,0.6978154260899128,95.58836689038033,97.56827999207181,76.09339477726574,75.41968315324137,10.328484609948505,94.7872340425532,97.1219302811949,72.35470764882528,71.21303304785391,3.3543377558399547,8
knn,100.0,100.0,100.0,100.0,0.0,95.98926174496644,97.76090720143002,80.47288195675291,78.89425787917762,6.899154824618273,93.82978723404256,96.53834026820863,71.61216831948539,68.23545510892188,3.5977516223981385,8
svcrbf,99.90895295902884,99.94933855498607,99.55109997215261,99.502504208032,0.4541712698989824,96.72357723577235,98.19034530977284,82.66705069124424,81.20228062939387,5.585283636271451,95.26570048309179,97.42229589722338,71.01604278074868,71.12155544036177,1.5128571352356204,
svclin,99.60560077252035,99.78021973189877,98.08052979698616,97.8839953788488,0.4373587063664461,95.3909830007391,97.42217059221612,78.14557169046333,75.79313489210304,7.267814383639017,94.68599033816425,97.06324420677363,72.1025641025641,69.37490402268875,3.235272210251326,
logistic,99.96965098634294,99.9831223628692,99.84962406015038,99.83344100743145,0.3724372296471813,95.2660753880266,97.34798361195108,77.91452616220417,75.5277064740045,2.897571845741201,94.20289855072465,96.76742005794117,71.86920821252123,68.73671789897526,5.038696427239387,
random,99.5448567618522,99.74654969762017,97.77074290275907,97.53528175380941,0.5814140445405936,95.87361419068736,97.73863271034138,76.4070601667932,75.31304004476972,6.5510596490946025,94.78260869565216,97.17578226456878,65.80645161290322,67.69683083339069,2.970929799513067,
knn,100.0,100.0,100.0,100.0,0.0,95.14560236511456,97.30077089625985,75.77937174711369,73.33276239561248,3.969494171031203,94.39613526570048,96.91683901270608,69.24310776942357,66.87319516014902,3.9848705835539566,
