,weights,n_neighbors,algorithm,rank,test_means,test_stds,train_means,train_stds
0,uniform,1,auto,33,0.7394285654355938,0.046498275553965185,1.0,0.0
1,distance,1,auto,33,0.7394285654355938,0.046498275553965185,1.0,0.0
2,uniform,2,auto,17,0.7610698397691922,0.06320559872657643,0.8540133792272411,0.017305820644841537
3,distance,2,auto,33,0.7394285654355938,0.046498275553965185,1.0,0.0
4,uniform,3,auto,13,0.775605402684029,0.04319450368841693,0.8621093879262383,0.009638981722293855
5,distance,3,auto,5,0.7835573633396742,0.036249074502852495,1.0,0.0
6,uniform,4,auto,89,0.6874253736408603,0.07903017665758738,0.8138297264039597,0.019612021699621403
7,distance,4,auto,1,0.7910387103847117,0.03628197823647947,1.0,0.0
8,uniform,5,auto,21,0.7498347387002164,0.0659504663239661,0.8332817206465026,0.012008052355921024
9,distance,5,auto,21,0.7498347387002164,0.0659504663239661,1.0,0.0
10,uniform,6,auto,77,0.6964303102824226,0.07101312927673985,0.7983532152084941,0.015889719677771027
11,distance,6,auto,9,0.7823623638530903,0.038687506190385884,1.0,0.0
12,uniform,7,auto,49,0.730063880873124,0.07556525061066827,0.8120727177969153,0.019200089714081655
13,distance,7,auto,49,0.730063880873124,0.07556525061066827,1.0,0.0
14,uniform,8,auto,81,0.696419524859224,0.07101126829318417,0.7628325057375287,0.014898793571617048
15,distance,8,auto,29,0.7485841025050501,0.054598685779183066,1.0,0.0
16,uniform,9,auto,65,0.714598860763608,0.06059888395588508,0.7766126487260745,0.02677476612719154
17,distance,9,auto,65,0.714598860763608,0.06059888395588508,1.0,0.0
18,uniform,10,auto,121,0.6591141209237039,0.08726196398345037,0.7253946157618678,0.0297994216802302
19,distance,10,auto,45,0.7316786522265658,0.05780381320283551,1.0,0.0
20,uniform,11,auto,61,0.7149471671587715,0.062133561427056644,0.7336085380006961,0.02788622450089536
21,distance,11,auto,57,0.7242536810090173,0.05343475126513427,1.0,0.0
22,uniform,12,auto,93,0.6850667344407999,0.09483240175750454,0.7040570545109814,0.026306782889204593
23,distance,12,auto,73,0.7056396495229534,0.06852005448342763,1.0,0.0
24,uniform,13,auto,93,0.6850667344407999,0.09483240175750454,0.712745477331931,0.019566967574521643
25,distance,13,auto,93,0.6850667344407999,0.09483240175750454,1.0,0.0
26,uniform,14,auto,125,0.6582775334608824,0.095067357790025,0.6729753280599601,0.039463677722947885
27,distance,14,auto,85,0.6925536733758288,0.10378850928490854,1.0,0.0
28,uniform,15,auto,113,0.6672732231089836,0.0932163312817916,0.6883568177740924,0.03874498351607473
29,distance,15,auto,105,0.6850032893332505,0.09476300031885604,1.0,0.0
30,uniform,16,auto,141,0.6160103610443752,0.0621622766976607,0.6573552004406455,0.04016448714332578
31,distance,16,auto,109,0.6771777861605996,0.08720089737311396,1.0,0.0
32,uniform,17,auto,133,0.6408722096687536,0.09031531259124578,0.6641029522740368,0.04088037252705701
33,distance,17,auto,129,0.6504104459940325,0.08503099571854932,1.0,0.0
34,uniform,18,auto,161,0.5531861437284034,0.09588111528185311,0.6339957877771866,0.04706814879362158
35,distance,18,auto,117,0.6603150090456487,0.08049235489317196,1.0,0.0
36,uniform,19,auto,153,0.5850879988672119,0.07926927354306235,0.6481660090694508,0.04147231778835967
37,distance,19,auto,145,0.606995714405205,0.05735035262511242,1.0,0.0
38,uniform,20,auto,165,0.5310689394963587,0.09921386922757953,0.5942898843504488,0.06481342735505902
39,distance,20,auto,145,0.606995714405205,0.05735035262511242,1.0,0.0
40,uniform,21,auto,157,0.5532132796475846,0.09590029702581943,0.6028348031608407,0.0490127148449373
41,distance,21,auto,137,0.616021146467574,0.06217835188412852,1.0,0.0
42,uniform,1,ball_tree,33,0.7394285654355938,0.046498275553965185,1.0,0.0
43,distance,1,ball_tree,33,0.7394285654355938,0.046498275553965185,1.0,0.0
44,uniform,2,ball_tree,17,0.7610698397691922,0.06320559872657643,0.8540133792272411,0.017305820644841537
45,distance,2,ball_tree,33,0.7394285654355938,0.046498275553965185,1.0,0.0
46,uniform,3,ball_tree,13,0.775605402684029,0.04319450368841693,0.8621093879262383,0.009638981722293855
47,distance,3,ball_tree,5,0.7835573633396742,0.036249074502852495,1.0,0.0
48,uniform,4,ball_tree,89,0.6874253736408603,0.07903017665758738,0.8138297264039597,0.019612021699621403
49,distance,4,ball_tree,1,0.7910387103847117,0.03628197823647947,1.0,0.0
50,uniform,5,ball_tree,21,0.7498347387002164,0.0659504663239661,0.8332817206465026,0.012008052355921024
51,distance,5,ball_tree,21,0.7498347387002164,0.0659504663239661,1.0,0.0
52,uniform,6,ball_tree,77,0.6964303102824226,0.07101312927673985,0.7983532152084941,0.015889719677771027
53,distance,6,ball_tree,9,0.7823623638530903,0.038687506190385884,1.0,0.0
54,uniform,7,ball_tree,49,0.730063880873124,0.07556525061066827,0.8120727177969153,0.019200089714081655
55,distance,7,ball_tree,49,0.730063880873124,0.07556525061066827,1.0,0.0
56,uniform,8,ball_tree,81,0.696419524859224,0.07101126829318417,0.7628325057375287,0.014898793571617048
57,distance,8,ball_tree,29,0.7485841025050501,0.054598685779183066,1.0,0.0
58,uniform,9,ball_tree,65,0.714598860763608,0.06059888395588508,0.7766126487260745,0.02677476612719154
59,distance,9,ball_tree,65,0.714598860763608,0.06059888395588508,1.0,0.0
60,uniform,10,ball_tree,121,0.6591141209237039,0.08726196398345037,0.7253946157618678,0.0297994216802302
61,distance,10,ball_tree,45,0.7316786522265658,0.05780381320283551,1.0,0.0
62,uniform,11,ball_tree,61,0.7149471671587715,0.062133561427056644,0.7336085380006961,0.02788622450089536
63,distance,11,ball_tree,57,0.7242536810090173,0.05343475126513427,1.0,0.0
64,uniform,12,ball_tree,93,0.6850667344407999,0.09483240175750454,0.7040570545109814,0.026306782889204593
65,distance,12,ball_tree,73,0.7056396495229534,0.06852005448342763,1.0,0.0
66,uniform,13,ball_tree,93,0.6850667344407999,0.09483240175750454,0.712745477331931,0.019566967574521643
67,distance,13,ball_tree,93,0.6850667344407999,0.09483240175750454,1.0,0.0
68,uniform,14,ball_tree,125,0.6582775334608824,0.095067357790025,0.6729753280599601,0.039463677722947885
69,distance,14,ball_tree,85,0.6925536733758288,0.10378850928490854,1.0,0.0
70,uniform,15,ball_tree,113,0.6672732231089836,0.0932163312817916,0.6883568177740924,0.03874498351607473
71,distance,15,ball_tree,105,0.6850032893332505,0.09476300031885604,1.0,0.0
72,uniform,16,ball_tree,141,0.6160103610443752,0.0621622766976607,0.6573552004406455,0.04016448714332578
73,distance,16,ball_tree,109,0.6771777861605996,0.08720089737311396,1.0,0.0
74,uniform,17,ball_tree,133,0.6408722096687536,0.09031531259124578,0.6641029522740368,0.04088037252705701
75,distance,17,ball_tree,129,0.6504104459940325,0.08503099571854932,1.0,0.0
76,uniform,18,ball_tree,161,0.5531861437284034,0.09588111528185311,0.6339957877771866,0.04706814879362158
77,distance,18,ball_tree,117,0.6603150090456487,0.08049235489317196,1.0,0.0
78,uniform,19,ball_tree,153,0.5850879988672119,0.07926927354306235,0.6481660090694508,0.04147231778835967
79,distance,19,ball_tree,145,0.606995714405205,0.05735035262511242,1.0,0.0
80,uniform,20,ball_tree,165,0.5310689394963587,0.09921386922757953,0.5942898843504488,0.06481342735505902
81,distance,20,ball_tree,145,0.606995714405205,0.05735035262511242,1.0,0.0
82,uniform,21,ball_tree,157,0.5532132796475846,0.09590029702581943,0.6028348031608407,0.0490127148449373
83,distance,21,ball_tree,137,0.616021146467574,0.06217835188412852,1.0,0.0
84,uniform,1,kd_tree,33,0.7394285654355938,0.046498275553965185,1.0,0.0
85,distance,1,kd_tree,33,0.7394285654355938,0.046498275553965185,1.0,0.0
86,uniform,2,kd_tree,17,0.7610698397691922,0.06320559872657643,0.8540133792272411,0.017305820644841537
87,distance,2,kd_tree,33,0.7394285654355938,0.046498275553965185,1.0,0.0
88,uniform,3,kd_tree,13,0.775605402684029,0.04319450368841693,0.8621093879262383,0.009638981722293855
89,distance,3,kd_tree,5,0.7835573633396742,0.036249074502852495,1.0,0.0
90,uniform,4,kd_tree,89,0.6874253736408603,0.07903017665758738,0.8138297264039597,0.019612021699621403
91,distance,4,kd_tree,1,0.7910387103847117,0.03628197823647947,1.0,0.0
92,uniform,5,kd_tree,21,0.7498347387002164,0.0659504663239661,0.8332817206465026,0.012008052355921024
93,distance,5,kd_tree,21,0.7498347387002164,0.0659504663239661,1.0,0.0
94,uniform,6,kd_tree,77,0.6964303102824226,0.07101312927673985,0.7983532152084941,0.015889719677771027
95,distance,6,kd_tree,9,0.7823623638530903,0.038687506190385884,1.0,0.0
96,uniform,7,kd_tree,49,0.730063880873124,0.07556525061066827,0.8120727177969153,0.019200089714081655
97,distance,7,kd_tree,49,0.730063880873124,0.07556525061066827,1.0,0.0
98,uniform,8,kd_tree,81,0.696419524859224,0.07101126829318417,0.7628325057375287,0.014898793571617048
99,distance,8,kd_tree,29,0.7485841025050501,0.054598685779183066,1.0,0.0
100,uniform,9,kd_tree,65,0.714598860763608,0.06059888395588508,0.7766126487260745,0.02677476612719154
101,distance,9,kd_tree,65,0.714598860763608,0.06059888395588508,1.0,0.0
102,uniform,10,kd_tree,121,0.6591141209237039,0.08726196398345037,0.7253946157618678,0.0297994216802302
103,distance,10,kd_tree,45,0.7316786522265658,0.05780381320283551,1.0,0.0
104,uniform,11,kd_tree,61,0.7149471671587715,0.062133561427056644,0.7336085380006961,0.02788622450089536
105,distance,11,kd_tree,57,0.7242536810090173,0.05343475126513427,1.0,0.0
106,uniform,12,kd_tree,93,0.6850667344407999,0.09483240175750454,0.7040570545109814,0.026306782889204593
107,distance,12,kd_tree,73,0.7056396495229534,0.06852005448342763,1.0,0.0
108,uniform,13,kd_tree,93,0.6850667344407999,0.09483240175750454,0.712745477331931,0.019566967574521643
109,distance,13,kd_tree,93,0.6850667344407999,0.09483240175750454,1.0,0.0
110,uniform,14,kd_tree,125,0.6582775334608824,0.095067357790025,0.6729753280599601,0.039463677722947885
111,distance,14,kd_tree,85,0.6925536733758288,0.10378850928490854,1.0,0.0
112,uniform,15,kd_tree,113,0.6672732231089836,0.0932163312817916,0.6883568177740924,0.03874498351607473
113,distance,15,kd_tree,105,0.6850032893332505,0.09476300031885604,1.0,0.0
114,uniform,16,kd_tree,141,0.6160103610443752,0.0621622766976607,0.6573552004406455,0.04016448714332578
115,distance,16,kd_tree,109,0.6771777861605996,0.08720089737311396,1.0,0.0
116,uniform,17,kd_tree,133,0.6408722096687536,0.09031531259124578,0.6641029522740368,0.04088037252705701
117,distance,17,kd_tree,129,0.6504104459940325,0.08503099571854932,1.0,0.0
118,uniform,18,kd_tree,161,0.5531861437284034,0.09588111528185311,0.6339957877771866,0.04706814879362158
119,distance,18,kd_tree,117,0.6603150090456487,0.08049235489317196,1.0,0.0
120,uniform,19,kd_tree,153,0.5850879988672119,0.07926927354306235,0.6481660090694508,0.04147231778835967
121,distance,19,kd_tree,145,0.606995714405205,0.05735035262511242,1.0,0.0
122,uniform,20,kd_tree,165,0.5310689394963587,0.09921386922757953,0.5942898843504488,0.06481342735505902
123,distance,20,kd_tree,145,0.606995714405205,0.05735035262511242,1.0,0.0
124,uniform,21,kd_tree,157,0.5532132796475846,0.09590029702581943,0.6028348031608407,0.0490127148449373
125,distance,21,kd_tree,137,0.616021146467574,0.06217835188412852,1.0,0.0
126,uniform,1,brute,33,0.7394285654355938,0.046498275553965185,1.0,0.0
127,distance,1,brute,33,0.7394285654355938,0.046498275553965185,1.0,0.0
128,uniform,2,brute,17,0.7610698397691922,0.06320559872657643,0.8540133792272411,0.017305820644841537
129,distance,2,brute,33,0.7394285654355938,0.046498275553965185,1.0,0.0
130,uniform,3,brute,13,0.775605402684029,0.04319450368841693,0.8621093879262383,0.009638981722293855
131,distance,3,brute,5,0.7835573633396742,0.036249074502852495,1.0,0.0
132,uniform,4,brute,89,0.6874253736408603,0.07903017665758738,0.8138297264039597,0.019612021699621403
133,distance,4,brute,1,0.7910387103847117,0.03628197823647947,1.0,0.0
134,uniform,5,brute,21,0.7498347387002164,0.0659504663239661,0.8332817206465026,0.012008052355921024
135,distance,5,brute,21,0.7498347387002164,0.0659504663239661,1.0,0.0
136,uniform,6,brute,77,0.6964303102824226,0.07101312927673985,0.7983532152084941,0.015889719677771027
137,distance,6,brute,9,0.7823623638530903,0.038687506190385884,1.0,0.0
138,uniform,7,brute,49,0.730063880873124,0.07556525061066827,0.8120727177969153,0.019200089714081655
139,distance,7,brute,49,0.730063880873124,0.07556525061066827,1.0,0.0
140,uniform,8,brute,81,0.696419524859224,0.07101126829318417,0.7628325057375287,0.014898793571617048
141,distance,8,brute,29,0.7485841025050501,0.054598685779183066,1.0,0.0
142,uniform,9,brute,65,0.714598860763608,0.06059888395588508,0.7766126487260745,0.02677476612719154
143,distance,9,brute,65,0.714598860763608,0.06059888395588508,1.0,0.0
144,uniform,10,brute,121,0.6591141209237039,0.08726196398345037,0.7253946157618678,0.0297994216802302
145,distance,10,brute,45,0.7316786522265658,0.05780381320283551,1.0,0.0
146,uniform,11,brute,61,0.7149471671587715,0.062133561427056644,0.7336085380006961,0.02788622450089536
147,distance,11,brute,57,0.7242536810090173,0.05343475126513427,1.0,0.0
148,uniform,12,brute,93,0.6850667344407999,0.09483240175750454,0.7040570545109814,0.026306782889204593
149,distance,12,brute,73,0.7056396495229534,0.06852005448342763,1.0,0.0
150,uniform,13,brute,93,0.6850667344407999,0.09483240175750454,0.712745477331931,0.019566967574521643
151,distance,13,brute,93,0.6850667344407999,0.09483240175750454,1.0,0.0
152,uniform,14,brute,125,0.6582775334608824,0.095067357790025,0.6729753280599601,0.039463677722947885
153,distance,14,brute,85,0.6925536733758288,0.10378850928490854,1.0,0.0
154,uniform,15,brute,113,0.6672732231089836,0.0932163312817916,0.6883568177740924,0.03874498351607473
155,distance,15,brute,105,0.6850032893332505,0.09476300031885604,1.0,0.0
156,uniform,16,brute,141,0.6160103610443752,0.0621622766976607,0.6573552004406455,0.04016448714332578
157,distance,16,brute,109,0.6771777861605996,0.08720089737311396,1.0,0.0
158,uniform,17,brute,133,0.6408722096687536,0.09031531259124578,0.6641029522740368,0.04088037252705701
159,distance,17,brute,129,0.6504104459940325,0.08503099571854932,1.0,0.0
160,uniform,18,brute,161,0.5531861437284034,0.09588111528185311,0.6339957877771866,0.04706814879362158
161,distance,18,brute,117,0.6603150090456487,0.08049235489317196,1.0,0.0
162,uniform,19,brute,153,0.5850879988672119,0.07926927354306235,0.6481660090694508,0.04147231778835967
163,distance,19,brute,145,0.606995714405205,0.05735035262511242,1.0,0.0
164,uniform,20,brute,165,0.5310689394963587,0.09921386922757953,0.5942898843504488,0.06481342735505902
165,distance,20,brute,145,0.606995714405205,0.05735035262511242,1.0,0.0
166,uniform,21,brute,157,0.5532132796475846,0.09590029702581943,0.6028348031608407,0.0490127148449373
167,distance,21,brute,137,0.616021146467574,0.06217835188412852,1.0,0.0
